UniProt Acc(canonical),status,gene_symbol,reviewed_isoforms,unreviewed_isoforms
Q8IUE1-1,reviewed,TGIF2LX,Q8IUE1-1,
Q8IZY2-1,reviewed,ABCA7,Q8IZY2-1|Q8IZY2-2,H0YF58-1
Q9BYJ4-1,reviewed,TRIM34,Q9BYJ4-1|Q9BYJ4-2,
Q9BY64-1,reviewed,UGT2B28,Q9BY64-1|Q9BY64-2,
A0A1W2PQF2-1,unreviewed,ENSG00000284512,,A0A1W2PQF2-1
P12524-1,reviewed,MYCL,P12524-1|P12524-2|P12524-3,E9PQS5-1
Q96BH1-1,reviewed,RNF25,Q96BH1-1,H7C219-1
P39748-1,reviewed,FEN1,P39748-1|P39748-2,I3L3E9-1
Q5JQF7-1,reviewed,LINC01556,Q5JQF7-1,
Q8TCP9-1,reviewed,FAM200A,Q8TCP9-1,J3QT35-1
Q9HAQ2-1,reviewed,KIF9,Q9HAQ2-1|Q9HAQ2-2,Q6PJI1-1
Q01718-1,reviewed,MC2R,Q01718-1,R4GMM0-1
S4R3V7-1,unreviewed,TMEM56-RWDD3,,S4R3V7-1
Q13177-1,reviewed,PAK2,Q13177-1,H7C1X3-1
Q9NUD9-1,reviewed,PIGV,Q9NUD9-1,X1WI27-1
Q8TAT5-1,reviewed,NEIL3,Q8TAT5-1,D6RAV1-1
E9PPC7-1,unreviewed,ENSG00000167524,,E9PPC7-1
Q9ULX9-1,reviewed,MAFF,Q9ULX9-1|Q9ULX9-2,B0QY70-1
A6NH52-1,reviewed,TVP23A,A6NH52-1|A6NH52-2,I3L488-1
A0A1B0GU22-1,unreviewed,ENSG00000283208,,A0A1B0GU22-1
Q9NSD5-1,reviewed,SLC6A13,Q9NSD5-1|Q9NSD5-2|Q9NSD5-3,F5GZA5-1
Q8IXM6-1,reviewed,NRM,Q8IXM6-1|Q8IXM6-2|Q8IXM6-6,H0Y6T6-1
Q3ZCT1-1,reviewed,ZNF260,Q3ZCT1-1,
H3BUT2-1,unreviewed,ENSG00000260234,,H3BUT2-1
A6NDN8-1,reviewed,-,A6NDN8-1,
Q8N8G6-1,reviewed,HGNC:33797,Q8N8G6-1,
Q9Y243-1,reviewed,AKT3,Q9Y243-1|Q9Y243-2,F8VS91-1
Q86X53-1,reviewed,ERICH1,Q86X53-1,H0YBT6-1
Q86UU5-1,reviewed,GGN,Q86UU5-1|Q86UU5-2|Q86UU5-3,K7EJI6-1
Q8WWB5-1,reviewed,PIH1D2,Q8WWB5-1|Q8WWB5-2|Q8WWB5-3,A0A0A0MTE1-1
Q7RTX7-1,reviewed,CATSPER4,Q7RTX7-1|Q7RTX7-2,J3KNU1-1
Q9NZU7-4,reviewed,CABP1,Q9NZU7-2|Q9NZU7-4|Q9NZU7-1|Q9NZU7-3,C9J8G2-1
P01215-1,reviewed,CGA,P01215-1,A0A087WYZ4-1
A6NFU0-1,reviewed,FAM187A,A6NFU0-1,
P0CG13-1,reviewed,CHTF8,P0CG12-1|P0CG13-1,
Q5VYK3-1,reviewed,KIAA0368,Q5VYK3-1,F6XAQ5-1
Q5W0A0-1,reviewed,ERICH6B,Q5W0A0-1|Q5W0A0-2,
Q8N427-1,reviewed,NME8,Q8N427-1,C9JG62-1
Q14728-1,reviewed,MFSD10,Q14728-1,D6RA47-1
A0A0J9YVP2-1,unreviewed,IGHJ6,,A0A0J9YVP2-1
P55771-1,reviewed,PAX9,P55771-1,G3V233-1
Q8IZ26-1,reviewed,ZNF34,Q8IZ26-1,E9PNZ6-1
Q08378-1,reviewed,GOLGA3,Q08378-1|Q08378-2|Q08378-4,A0A087WV43-1
P67870-1,reviewed,CSNK2B,P67870-1,A0A0G2JM12-1
Q6UY14-1,reviewed,ADAMTSL4,Q6UY14-3|Q6UY14-1|Q6UY14-2,
Q6GQQ9-1,reviewed,OTUD7B,Q6GQQ9-1|Q6GQQ9-2,Q5SZ59-1
Q9UI46-1,reviewed,DNAI1,Q9UI46-1|Q9UI46-2,A0A087WWV9-1
Q9UN71-1,reviewed,PCDHGB4,Q9UN71-1|Q9UN71-2,
Q86VD9-1,reviewed,PIGZ,Q86VD9-1,C9JQX2-1
Q2MV58-1,reviewed,TCTN1,Q2MV58-1|Q2MV58-2|Q2MV58-3|Q2MV58-4|Q2MV58-5|Q2MV58-6,A0A087X1J4-1
A0A1W2PRY6-1,unreviewed,SMIM27,,A0A1W2PRY6-1
U3KQA4-1,unreviewed,ENSG00000266953,,U3KQA4-1
E7EQ34-1,unreviewed,ENSG00000262633,,E7EQ34-1
Q8WW38-1,reviewed,ZFPM2,Q8WW38-1|Q8WW38-2,E7ET52-1
Q68DE3-1,reviewed,USF3,Q68DE3-1,C9JBW0-1
P20916-1,reviewed,MAG,P20916-1|P20916-2|P20916-3,M0R3B9-1
Q15555-1,reviewed,MAPRE2,Q15555-1|Q15555-2|Q15555-3|Q15555-5|Q15555-4,K7ERD8-1
O14497-1,reviewed,ARID1A,O14497-1|O14497-2|O14497-3,H0Y488-1
Q9P2P5-1,reviewed,HECW2,Q9P2P5-1|Q9P2P5-2,C9JPI9-1
P0CAP2-1,reviewed,POLR2M,Q6EEV4-1|P0CAP2-1|P0CAP2-2|P0CAP2-3|Q6EEV4-2|P0CAP1-11,
Q86TE4-1,reviewed,LUZP2,Q86TE4-1|Q86TE4-2|Q86TE4-3|Q86TE4-4,E9PP05-1
Q9HCI7-1,reviewed,MSL2,Q9HCI7-1|Q9HCI7-2,C9IZ03-1
Q96GS4-1,reviewed,BORCS6,Q96GS4-1,
Q99518-1,reviewed,FMO2,Q99518-1,A0A0D9SFZ0-1
Q3LI60-1,reviewed,KRTAP20-3,Q3LI60-1,
O95867-1,reviewed,LY6G6C,O95867-1,G3V1A8-1
Q9NZH5-1,reviewed,PTTG2,Q9NZH5-1|Q9NZH5-2,
Q15012-1,reviewed,LAPTM4A,Q15012-1,
Q8WUU8-1,reviewed,TMEM174,Q8WUU8-1|Q8WUU8-2,
Q96KE9-1,reviewed,BTBD6,Q96KE9-2|Q96KE9-1,F8VPC8-1
Q9NZP8-1,reviewed,C1RL,Q9NZP8-1,F5H2Z5-1
Q9Y663-1,reviewed,HS3ST3A1,Q9Y663-1,J3KSX5-1
A0A1W2PS62-1,unreviewed,ENSG00000284299,,A0A1W2PS62-1
Q96S79-1,reviewed,RASL10B,Q96S79-1,
P20073-1,reviewed,ANXA7,P20073-1|P20073-2,B9ZVT2-1
P07101-1,reviewed,TH,P07101-1|P07101-3|P07101-2|P07101-4|P07101-5|P07101-6,F8W8M5-1
O15123-1,reviewed,ANGPT2,O15123-1|O15123-2|O15123-3,E7EVQ3-1
P51956-1,reviewed,NEK3,P51956-1|P51956-2,A0A087X030-1
A0A0G2JN68-1,unreviewed,ENSG00000278414,,A0A0G2JN68-1
Q4FZB7-1,reviewed,KMT5B,Q4FZB7-1|Q4FZB7-2|Q4FZB7-4,F8WFA4-1
Q9HBW0-1,reviewed,LPAR2,Q9HBW0-1,K7EJJ9-1
Q76KX8-1,reviewed,ZNF534,Q76KX8-1|Q76KX8-2,Q1T7F6-1
Q96FJ2-1,reviewed,DYNLL2,Q96FJ2-1,
O94804-1,reviewed,STK10,O94804-1,H0YB71-1
Q07654-1,reviewed,TFF3,Q07654-1,A0A0A6YYJ4-1
Q9UL49-3,reviewed,TCFL5,Q9UL49-3|Q9UL49-1|Q9UL49-2,F8W9A4-1
A6NNL0-1,reviewed,NUTM2B,A6NNL0-1|A6NNL0-2,A0A0A0MRB8-1
Q96CB9-1,reviewed,NSUN4,Q96CB9-1|Q96CB9-2|Q96CB9-3|Q96CB9-4,M0R1K5-1
P03905-1,reviewed,MT-ND4,P03905-1,
P42224-1,reviewed,STAT1,P42224-1|P42224-2,E9PH66-1
Q53S33-1,reviewed,BOLA3,Q53S33-1|Q53S33-2,
Q86WI1-1,reviewed,PKHD1L1,Q86WI1-1,H0YF65-1
Q9NQ87-1,reviewed,HEYL,Q9NQ87-1,
Q07617-1,reviewed,SPAG1,Q07617-1|Q07617-2,
Q8WUZ0-1,reviewed,BCL7C,Q8WUZ0-1|Q8WUZ0-2,I3L1Q2-1
Q5VZI3-1,reviewed,TMEM268,Q5VZI3-1|Q5VZI3-2|Q5VZI3-3,
Q92585-1,reviewed,MAML1,Q92585-1,
Q8NFH5-1,reviewed,NUP35,Q8NFH5-1|Q8NFH5-2|Q8NFH5-3,F8WEL4-1
O95274-1,reviewed,LYPD3,O95274-1,
A0A1B0GTZ6-1,unreviewed,ENSG00000179859,,A0A1B0GTZ6-1
Q9NS91-1,reviewed,RAD18,Q9NS91-1,F8WAZ7-1
P15884-1,reviewed,TCF4,P15884-3|P15884-1|P15884-2|P15884-4|P15884-5|P15884-6|P15884-7|P15884-8|P15884-9|P15884-10|P15884-11|P15884-12|P15884-13|P15884-14|P15884-15|P15884-16,A0A0D9SF18-1
Q12872-1,reviewed,SFSWAP,Q12872-1|Q12872-2,F5H1A5-1
Q9P126-1,reviewed,CLEC1B,Q9P126-1|Q9P126-2,H7BYT7-1
P30203-1,reviewed,CD6,P30203-1|P30203-2|P30203-3|P30203-4|P30203-5|P30203-6|P30203-7,E7ER04-1
Q9Y6E2-1,reviewed,BZW2,Q9Y6E2-1|Q9Y6E2-2,E7ETZ4-1
O15342-1,reviewed,ATP6V0E1,O15342-1,J3KN48-1
Q5VTL8-1,reviewed,PRPF38B,Q5VTL8-1|Q5VTL8-2,A0A0A0MRN0-1
Q8TF74-1,reviewed,WIPF2,Q8TF74-1|Q8TF74-2,A8MWR2-1
Q99435-1,reviewed,NELL2,Q99435-1|Q99435-2|Q99435-3|Q99435-4,F8VZ72-1
P35503-1,reviewed,UGT1A3,P35503-1|P35503-3,
P60507-1,reviewed,ERVFC1,P60507-1,
Q96N95-1,reviewed,ZNF396,Q96N95-1|Q96N95-2|Q96N95-3,K7ERR8-1
Q5T1S8-1,reviewed,NCMAP,Q5T1S8-1,
Q13546-1,reviewed,RIPK1,Q13546-1|Q13546-2,
P62136-1,reviewed,PPP1CA,P62136-1|P62136-2|P62136-3,E9PMD7-1
A0A0A6YYH1-1,unreviewed,C15orf38-AP3S2,,A0A0A6YYH1-1
Q6S8J7-1,reviewed,POTEA,Q6S8J7-1|Q6S8J7-2,
P59646-1,reviewed,FXYD4,P59646-1,
Q14773-1,reviewed,ICAM4,Q14773-1|Q14773-2|Q14773-3,
Q30KP8-1,reviewed,DEFB136,Q30KP8-1,
O14921-1,reviewed,RGS13,O14921-1,
Q5JTD7-1,reviewed,LRRC73,Q5JTD7-1,
P46095-1,reviewed,GPR6,P46095-1|P46095-2,
Q8NGH3-1,reviewed,OR2D3,Q8NGH3-1,
Q8NH42-1,reviewed,OR4K13,Q8NH42-1,
Q8IWN7-1,reviewed,RP1L1,Q8IWN7-1|Q8IWN7-2,A6NKC6-1
Q5VWM6-1,reviewed,PRAMEF13,Q5VWM6-1,A0A1W2PPB9-1
M0R2X1-1,unreviewed,ENSG00000188897,,M0R2X1-1
Q9BRF8-1,reviewed,CPPED1,Q9BRF8-1|Q9BRF8-2|Q9BRF8-3,
Q9NUQ3-1,reviewed,TXLNG,Q9NUQ3-1|Q9NUQ3-2,
Q13889-1,reviewed,GTF2H3,Q13889-1|Q13889-2,F5H6X0-1
O60879-1,reviewed,DIAPH2,O60879-1|O60879-2|O60879-3,K4DI95-1
Q13011-1,reviewed,ECH1,Q13011-1,M0QZX8-1
Q4VC44-1,reviewed,FLYWCH1,Q4VC44-1|Q4VC44-2|Q4VC44-3|Q4VC44-4|Q4VC44-5,I3L287-1
Q16559-1,reviewed,TAL2,Q16559-1,
Q00537-1,reviewed,CDK17,Q00537-1|Q00537-2,F8W1S5-1
O95073-1,reviewed,FSBP,O95073-2|O95073-1,J3KSW4-1
P17017-1,reviewed,ZNF14,P17017-1,
Q71RC1-1,unreviewed,ENSG00000267954,,Q71RC1-1
B4DGG1-1,unreviewed,ENSG00000269881,,B4DGG1-1
Q8NGQ2-1,reviewed,OR6Q1,Q8NGQ2-1,
O60234-1,reviewed,GMFG,O60234-1,M0QX47-1
P16144-1,reviewed,ITGB4,P16144-1|P16144-2|P16144-3|P16144-4|P16144-5,J3KSH9-1
A6NNX1-1,reviewed,RIIAD1,A6NNX1-1,C9JPK7-1
P51397-1,reviewed,DAP,P51397-1,B4DQ75-1
O15226-1,reviewed,NKRF,O15226-1|O15226-2,
P02458-2,reviewed,COL2A1,P02458-2|P02458-1|P02458-3,
Q8IUC0-1,reviewed,KRTAP13-1,Q8IUC0-1,
Q6Y1H2-1,reviewed,HACD2,Q6Y1H2-1,C9JWG1-1
A8K830-1,reviewed,COLCA2,A8K830-1|A8K830-2|A8K830-3|A8K830-4|A8K830-5,A0A0A0MTE5-1
Q9H2S6-1,reviewed,TNMD,Q9H2S6-1|Q9H2S6-2|Q9H2S6-3,
Q96AV8-1,reviewed,E2F7,Q96AV8-1|Q96AV8-2|Q96AV8-3,F8VSE7-1
Q8N720-1,reviewed,ZNF655,Q8N720-1|Q8N720-2|Q8N720-3|Q8N720-4,C9J9R2-1
Q96S55-1,reviewed,WRNIP1,Q96S55-1|Q96S55-2|Q96S55-3|Q96S55-4,
Q96T58-1,reviewed,SPEN,Q96T58-1,H0Y5U7-1
O43435-1,reviewed,TBX1,O43435-1|O43435-2|O43435-3,
Q9NZJ9-1,reviewed,NUDT4,Q9NZJ9-1|Q9NZJ9-2|Q9NZJ9-3,F8VRR0-1
Q9ULS6-1,reviewed,KCNS2,Q9ULS6-1,
P51589-1,reviewed,CYP2J2,P51589-1,
Q08379-1,reviewed,GOLGA2,Q08379-1|Q08379-2,R4GND7-1
P43080-1,reviewed,GUCA1A,P43080-1,A0A0A0MTF5-1
P0CG39-1,reviewed,POTEJ,P0CG39-1,
Q9HBI5-1,reviewed,C3orf14,Q9HBI5-1,C9JY17-1
Q96FX2-1,reviewed,DPH3,Q96FX2-1|Q96FX2-2,
Q63HM2-1,reviewed,PCNX4,Q63HM2-1,H9KV87-1
Q96DN5-1,reviewed,TBC1D31,Q96DN5-1|Q96DN5-2|Q96DN5-3,E5RI94-1
Q9P0V8-1,reviewed,SLAMF8,Q9P0V8-1|Q9P0V8-2,
Q01432-1,reviewed,AMPD3,Q01432-1|Q01432-2|Q01432-3|Q01432-4|Q01432-5|Q01432-6,E9PIR5-1
Q13487-1,reviewed,SNAPC2,Q13487-1,M0QXY9-1
Q9HBG4-1,reviewed,ATP6V0A4,Q9HBG4-1,
Q96M27-1,reviewed,PRRC1,Q96M27-1|Q96M27-2|Q96M27-3|Q96M27-4|Q96M27-5,
Q9UGK3-1,reviewed,STAP2,Q9UGK3-1|Q9UGK3-2,M0R2W4-1
P0C7M8-1,reviewed,CLEC2L,P0C7M8-1,H0YB20-1
O43186-1,reviewed,CRX,O43186-1,H3BUU7-1
P0DMB2-1,reviewed,C8orf88,P0DMB2-1,
Q8IWV8-1,reviewed,UBR2,Q8IWV8-1|Q8IWV8-2|Q8IWV8-3|Q8IWV8-4,
Q9BWT7-1,reviewed,CARD10,Q9BWT7-1|Q9BWT7-2,B0QYC3-1
Q02747-1,reviewed,GUCA2A,Q02747-1,
Q96K12-1,reviewed,FAR2,Q96K12-1|Q96K12-2,H0YHP1-1
Q92859-1,reviewed,NEO1,Q92859-1|Q92859-2|Q92859-3|Q92859-4,Q59FP8-1
Q9BVK6-1,reviewed,TMED9,Q9BVK6-1,
Q9P286-1,reviewed,PAK5,Q9P286-1,
Q9UKV0-1,reviewed,HDAC9,Q9UKV0-3|Q9UKV0-1|Q9UKV0-2|Q9UKV0-4|Q9UKV0-5|Q9UKV0-6|Q9UKV0-7|Q9UKV0-8|Q9UKV0-9|Q9UKV0-10|Q9UKV0-11,C9JD56-1
P30536-1,reviewed,TSPO,B1AH88-1|P30536-1,B1AH87-1
Q6QNY0-1,reviewed,BLOC1S3,Q6QNY0-1,K7EN58-1
Q8IUC8-1,reviewed,GALNT13,Q8IUC8-1|Q8IUC8-2|Q8IUC8-3,H7C2I5-1
Q14241-1,reviewed,ELOA,Q14241-1,A0A024RAC6-1
Q9NPB6-1,reviewed,PARD6A,Q9NPB6-2|Q9NPB6-1,R4GMM2-1
A0A1B0GX31-1,unreviewed,TRBV7-6,,A0A1B0GX31-1
P13693-1,reviewed,TPT1,P13693-1|P13693-2,E9PJF7-1
Q86X76-1,reviewed,NIT1,Q86X76-1|Q86X76-2|Q86X76-3|Q86X76-4|Q86X76-5,
A6NJ64-1,reviewed,-,A6NJ64-1,
Q9UG56-3,reviewed,PISD,Q9UG56-3|Q9UG56-2,H0Y7P7-1
A0A075B6L2-1,unreviewed,TRGV11,,A0A075B6L2-1
P26651-1,reviewed,ZFP36,P26651-1,M0R0H3-1
P34972-1,reviewed,CNR2,P34972-1,
Q4VC39-1,reviewed,HIGD2B,Q4VC39-1,
P26436-1,reviewed,ACRV1,P26436-1|P26436-2|P26436-3|P26436-4|P26436-5|P26436-6|P26436-7|P26436-8|P26436-9|P26436-10|P26436-11,
Q2M3X9-1,reviewed,ZNF674,Q2M3X9-1|Q2M3X9-2,E5RHV3-1
Q93091-1,reviewed,RNASE6,Q93091-1,
P62068-1,reviewed,USP46,P62068-1|P62068-2|P62068-3|P62068-4,D6RIX7-1
Q86TS7-1,reviewed,HGNC:44296,Q86TS7-1,
Q9BYT5-1,reviewed,KRTAP2-2,Q9BYT5-1,F5H6S0-1
Q6DN12-1,reviewed,MCTP2,Q6DN12-1|Q6DN12-2|Q6DN12-3|Q6DN12-4|Q6DN12-6,F5H415-1
P02794-1,reviewed,FTH1,P02794-1,E9PKM5-1
Q9Y231-1,reviewed,FUT9,Q9Y231-1,
A0A1W2PP18-1,unreviewed,ENSG00000284491,,A0A1W2PP18-1
Q8NH60-1,reviewed,OR52J3,Q8NH60-1,
O15083-1,reviewed,ERC2,O15083-1,H7C4G9-1
O75170-1,reviewed,PPP6R2,O75170-1|O75170-2|O75170-3|O75170-4|O75170-5|O75170-6,T1ECW5-1
P09496-1,reviewed,CLTA,P09496-1|P09496-2|P09496-3|P09496-4|P09496-5,C9J8P9-1
Q29974-1,reviewed,HLA-DRB1,Q29974-1,
Q8NAT2-3,reviewed,TDRD5,Q8NAT2-3|Q8NAT2-1,A0A0C4DG74-1
Q8N387-1,reviewed,MUC15,Q8N387-1|Q8N387-2,A0A0A0MT67-1
Q5MAI5-1,reviewed,CDKL4,Q5MAI5-1|Q5MAI5-2,H7BZI6-1
P61086-1,reviewed,UBE2K,P61086-1|P61086-2|P61086-3,D6RFX1-1
O95396-1,reviewed,MOCS3,O95396-1,
Q9NRC1-1,reviewed,ST7,Q9NRC1-1|Q9NRC1-2|Q9NRC1-3|Q9NRC1-4|Q9NRC1-5|Q9NRC1-6|Q9NRC1-7,C9J2Z1-1
P11597-1,reviewed,CETP,P11597-1|P11597-2,H3BRJ9-1
Q8N7I0-1,reviewed,HGNC:31424,Q8N7I0-1,
O60671-1,reviewed,RAD1,O60671-1|O60671-2|O60671-3,D6R9A1-1
Q16828-1,reviewed,DUSP6,Q16828-1|Q16828-2,F8VZA4-1
Q9NXH8-1,reviewed,TOR4A,Q9NXH8-1,
Q5MJ08-1,reviewed,SPANXN4,Q5MJ08-1,X6R7N2-1
Q96EX1-1,reviewed,SMIM12,Q96EX1-1,E5RH51-1
P07478-1,reviewed,PRSS2,P07478-1,A6XMV9-1
O60330-1,reviewed,PCDHGA12,O60330-1|O60330-2,
P49758-4,reviewed,RGS6,P49758-4|P49758-2|P49758-3|P49758-5|P49758-6|P49758-7|P49758-8|P49758-9|P49758-10|P49758-11|P49758-12|P49758-13|P49758-14|P49758-15|P49758-16,A0A0A0MRA9-1
Q5JRM2-1,reviewed,CXorf66,Q5JRM2-1,
Q12765-1,reviewed,SCRN1,Q12765-1|Q12765-2|Q12765-3,C9K052-1
P57076-1,reviewed,C21orf59,P57076-1,D3DSE6-1
P63126-1,reviewed,HGNC:39005,P63128-1|P63126-1,
Q9Y653-1,reviewed,ADGRG1,Q9Y653-1|Q9Y653-2|Q9Y653-3|Q9Y653-4|Q9Y653-5,H3BRB4-1
Q96SE0-1,reviewed,ABHD1,Q96SE0-1|Q96SE0-3,C9J8C2-1
Q8N6Q3-1,reviewed,CD177,Q8N6Q3-1|Q8N6Q3-2|Q8N6Q3-3,A0A087X113-1
P47890-1,reviewed,OR1G1,P47890-1,
P04040-1,reviewed,CAT,P04040-1,
P29320-1,reviewed,EPHA3,P29320-1|P29320-2,C9JXA2-1
Q8N5F7-1,reviewed,NKAP,Q8N5F7-1,
Q8WXS5-1,reviewed,CACNG8,Q8WXS5-1,A0A1X7SBR8-1
Q8IXU6-1,reviewed,SLC35F2,Q8IXU6-1|Q8IXU6-2|Q8IXU6-3,E9PKZ2-1
Q13268-1,reviewed,DHRS2,Q13268-1|Q13268-2,C9JZP6-1
I3L0D1-1,unreviewed,RBAK-RBAKDN,,I3L0D1-1
Q8N8W4-1,reviewed,PNPLA1,Q8N8W4-1|Q8N8W4-2|Q8N8W4-3,A0A0C4DG24-1
Q8NHX4-1,reviewed,SPATA3,Q8NHX4-1,F8WDD9-1
P01210-1,reviewed,PENK,P01210-1,H0YBT5-1
P29590-1,reviewed,PML,P29590-5|P29590-1|P29590-8|P29590-9|P29590-2|P29590-4|P29590-10|P29590-3|P29590-11|P29590-12|P29590-13|P29590-14,H3BUJ5-1
Q9NZ43-1,reviewed,USE1,Q9NZ43-1|Q9NZ43-2|Q9NZ43-3,M0QZE0-1
Q9BPU9-1,reviewed,B9D2,Q9BPU9-1,M0QY88-1
Q5VUB5-1,reviewed,FAM171A1,Q5VUB5-1,Q5SW12-1
O60609-1,reviewed,GFRA3,O60609-1|O60609-2,
Q6AI08-1,reviewed,HEATR6,Q6AI08-1,K7ELA5-1
P80723-1,reviewed,BASP1,P80723-1|P80723-2,U3KQP0-1
Q9Y2P4-1,reviewed,SLC27A6,Q9Y2P4-1,D6RAJ2-1
Q9NTM9-1,reviewed,CUTC,Q9NTM9-1,Q5TCZ7-1
P20701-1,reviewed,ITGAL,P20701-1|P20701-2|P20701-3,H3BS37-1
Q9H9B4-1,reviewed,SFXN1,Q9H9B4-1,S4R2X2-1
Q3SY89-1,reviewed,ELOA3B,Q3SY89-1,
P0CJ79-1,reviewed,ZNF888,P0CJ79-1,A0A1W2PQ69-1
A2RUH7-1,reviewed,MYBPHL,A2RUH7-1|A2RUH7-2,
Q86XM0-1,reviewed,CATSPERD,Q86XM0-1|Q86XM0-2,
Q05BV3-1,reviewed,EML5,Q05BV3-1|Q05BV3-2|Q05BV3-4|Q05BV3-5,H0YJ79-1
Q8WZ84-1,reviewed,OR8D1,Q8WZ84-1,
Q92597-1,reviewed,NDRG1,Q92597-3|Q92597-1|Q92597-2,E5RIR1-1
Q6UWW0-1,reviewed,LCN15,Q6UWW0-1,
Q96AP4-1,reviewed,ZUFSP,Q96AP4-1|Q96AP4-2,X6R6X3-1
Q8IYK2-1,reviewed,CCDC105,Q8IYK2-1,
Q8NI51-1,reviewed,CTCFL,Q8NI51-1|Q8NI51-2|Q8NI51-3|Q8NI51-4|Q8NI51-5|Q8NI51-6|Q8NI51-7|Q8NI51-8|Q8NI51-9|Q8NI51-10|Q8NI51-11,V9GY73-1
P33778-1,reviewed,HIST1H2BB,P33778-1,
A6NFR6-1,reviewed,C5orf60,A6NFR6-1|A6NFR6-2|A6NFR6-3|A6NFR6-4,A0A286YEN9-1
P53801-1,reviewed,PTTG1IP,P53801-1,A8MXQ1-1
Q9UJQ4-1,reviewed,SALL4,Q9UJQ4-1|Q9UJQ4-2,Q6Y8G5-1
O95372-1,reviewed,LYPLA2,O95372-1,Q5QPN5-1
Q8N0Z3-1,reviewed,SPICE1,Q8N0Z3-1,H7C5N4-1
Q9NW15-1,reviewed,ANO10,Q9NW15-1|Q9NW15-2|Q9NW15-3|Q9NW15-4|Q9NW15-5,C9IZD0-1
Q9UKG4-1,reviewed,SLC13A4,Q9UKG4-1,V9GYC7-1
P54750-1,reviewed,PDE1A,P54750-1|P54750-2|P54750-3|P54750-4|P54750-5|P54750-6|P54750-7|P54750-8|P54750-9,
Q8N9G6-1,reviewed,-,Q8N9G6-1,
P16415-1,reviewed,ZNF823,P16415-1|P16415-2,C9J2N8-1
Q9BUJ0-1,reviewed,ABHD14A,Q9BUJ0-1,C9J7W8-1
O75838-1,reviewed,CIB2,O75838-1|O75838-2|O75838-3|O75838-4,H0YKX8-1
Q6YFQ2-1,reviewed,COX6B2,Q6YFQ2-1,
Q7Z5R6-1,reviewed,APBB1IP,Q7Z5R6-1|Q7Z5R6-2,
Q8IYN0-1,reviewed,ZNF100,Q8IYN0-1,M0R071-1
Q9UIK5-1,reviewed,TMEFF2,Q9UIK5-1|Q9UIK5-2|Q9UIK5-3,
Q5VVW2-1,reviewed,GARNL3,Q5VVW2-1|Q5VVW2-2|Q5VVW2-3|Q5VVW2-4|Q5VVW2-5,S4R3P7-1
P61586-1,reviewed,RHOA,P61586-1,C9JNR4-1
Q6JVE9-1,reviewed,LCN8,Q6JVE9-1|Q6JVE9-2,
Q9UND3-1,reviewed,NPIPA1,Q9UND3-1,A0A0J9YW05-1
Q969U7-1,reviewed,PSMG2,Q969U7-1|Q969U7-2,K7ENR6-1
Q687X5-1,reviewed,STEAP4,Q687X5-1|Q687X5-2,C9JS50-1
P28907-1,reviewed,CD38,P28907-1|P28907-2,H0Y950-1
Q96KS0-1,reviewed,EGLN2,Q96KS0-1|Q96KS0-2,M0R035-1
P16083-1,reviewed,NQO2,P16083-1,A2A2U4-1
Q9Y6U3-1,reviewed,SCIN,Q9Y6U3-1|Q9Y6U3-2|Q9Y6U3-3,C9JGB6-1
Q4QY38-1,reviewed,DEFB134,Q4QY38-1,
Q56A73-1,reviewed,SPIN4,Q56A73-1,X6R8Y7-1
Q9GZW5-1,reviewed,HGNC:10567,Q9GZW5-1|Q9GZW5-2,
Q96GC9-1,reviewed,VMP1,Q96GC9-1|Q96GC9-2,K7EL74-1
Q9NSJ1-1,reviewed,HGNC:17218,Q9NSJ1-1,
Q7Z7B8-1,reviewed,DEFB128,Q7Z7B8-1,
M0R256-1,unreviewed,ENSG00000268434,,M0R256-1
Q8IYN2-1,reviewed,TCEAL8,Q8IYN2-1,Q5H9L1-1
P50876-1,reviewed,RNF144A,P50876-1,H7C3G0-1
Q9HBQ8-1,reviewed,HGNC:25315,Q9HBQ8-1|Q9HBQ8-2,
Q8IZF7-1,reviewed,ADGRF2,Q8IZF7-1|Q8IZF7-2,D6R9E2-1
Q5VSP4-1,reviewed,HGNC:23412,Q5VSP4-1,
O75323-1,reviewed,NIPSNAP2,O75323-1|O75323-2,H7C333-1
A6NE01-1,reviewed,FAM186A,A6NE01-1,H0YFA1-1
Q5S007-1,reviewed,LRRK2,Q5S007-1,H7C3B6-1
P49675-1,reviewed,STAR,P49675-1,E5RH12-1
Q9Y223-1,reviewed,GNE,Q9Y223-2|Q9Y223-1|Q9Y223-3|Q9Y223-4|Q9Y223-5,
O60890-1,reviewed,OPHN1,O60890-1|O60890-2,
A0A1B0GVL1-1,unreviewed,C3orf85,,A0A1B0GVL1-1
Q96FZ2-1,reviewed,HMCES,Q96FZ2-1,D6RAZ3-1
Q8WY07-1,reviewed,SLC7A3,Q8WY07-1,
Q70Z44-1,reviewed,HTR3D,Q70Z44-1|Q70Z44-2|Q70Z44-3|Q70Z44-4,F6WC43-1
H3BMH7-1,unreviewed,ENSG00000131152,,H3BMH7-1
Q5U5X8-1,reviewed,FAM222A,Q5U5X8-1,
Q32M84-1,reviewed,BTBD16,Q32M84-1|Q32M84-2,
O95153-1,reviewed,TSPOAP1,O95153-1|O95153-2|O95153-3,A0A0C4DGN5-1
Q8TAW3-1,reviewed,ZNF671,Q8TAW3-1,M0QX87-1
